,,,,,,,Daily Price Arrival Report-07-11-2025 to 07-02-2026 for Uttar Pradesh,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Uttar Pradesh,Aligarh,Aligarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,600.00","7,820.00","7,670.00",Rs./Quintal,7.00,Metric Tonnes,24-11-2025
Uttar Pradesh,Aligarh,Aligarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,620.00","7,720.00","7,680.00",Rs./Quintal,8.00,Metric Tonnes,21-11-2025
Uttar Pradesh,Aligarh,Aligarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,660.00","7,780.00","7,720.00",Rs./Quintal,7.00,Metric Tonnes,20-11-2025
Uttar Pradesh,Aligarh,Aligarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,700.00","7,800.00","7,740.00",Rs./Quintal,7.00,Metric Tonnes,18-11-2025
Uttar Pradesh,Aligarh,Aligarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,700.00","7,800.00","7,760.00",Rs./Quintal,6.00,Metric Tonnes,17-11-2025
Uttar Pradesh,Aligarh,Aligarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,700.00","7,800.00","7,760.00",Rs./Quintal,8.00,Metric Tonnes,14-11-2025
Uttar Pradesh,Aligarh,Aligarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,700.00","7,800.00","7,750.00",Rs./Quintal,7.00,Metric Tonnes,13-11-2025
Uttar Pradesh,Aligarh,Aligarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,700.00","7,800.00","7,760.00",Rs./Quintal,5.00,Metric Tonnes,12-11-2025
Uttar Pradesh,Aligarh,Aligarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,700.00","7,800.00","7,750.00",Rs./Quintal,6.00,Metric Tonnes,11-11-2025
Uttar Pradesh,Aligarh,Aligarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,760.00","7,760.00","7,760.00",Rs./Quintal,7.00,Metric Tonnes,10-11-2025
Uttar Pradesh,Aligarh,Aligarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,750.00","7,750.00","7,750.00",Rs./Quintal,6.00,Metric Tonnes,08-11-2025
Uttar Pradesh,Aligarh,Aligarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,740.00","7,740.00","7,740.00",Rs./Quintal,5.00,Metric Tonnes,07-11-2025
Uttar Pradesh,Aligarh,Aligarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,620.00","7,740.00","7,680.00",Rs./Quintal,7.00,Metric Tonnes,05-12-2025
Uttar Pradesh,Aligarh,Aligarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,620.00","7,720.00","7,690.00",Rs./Quintal,6.00,Metric Tonnes,04-12-2025
Uttar Pradesh,Aligarh,Aligarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,600.00","7,740.00","7,680.00",Rs./Quintal,8.00,Metric Tonnes,02-12-2025
Uttar Pradesh,Aligarh,Aligarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,600.00","7,720.00","7,670.00",Rs./Quintal,8.00,Metric Tonnes,01-12-2025
Uttar Pradesh,Ambedkarnagar,Akbarpur APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,580.00","7,700.00","7,620.00",Rs./Quintal,2.50,Metric Tonnes,19-12-2025
Uttar Pradesh,Ambedkarnagar,Akbarpur APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,500.00","7,700.00","7,600.00",Rs./Quintal,2.00,Metric Tonnes,18-12-2025
Uttar Pradesh,Azamgarh,Azamgarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,500.00","7,600.00","7,545.00",Rs./Quintal,10.00,Metric Tonnes,27-12-2025
Uttar Pradesh,Azamgarh,Azamgarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,400.00","7,600.00","7,550.00",Rs./Quintal,12.80,Metric Tonnes,26-11-2025
Uttar Pradesh,Azamgarh,Azamgarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,520.00","7,650.00","7,575.00",Rs./Quintal,12.80,Metric Tonnes,18-11-2025
Uttar Pradesh,Azamgarh,Azamgarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,500.00","7,630.00","7,575.00",Rs./Quintal,13.20,Metric Tonnes,17-11-2025
Uttar Pradesh,Azamgarh,Azamgarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,600.00","7,700.00","7,650.00",Rs./Quintal,12.50,Metric Tonnes,11-11-2025
Uttar Pradesh,Azamgarh,Azamgarh APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,500.00","7,600.00","7,545.00",Rs./Quintal,10.50,Metric Tonnes,01-01-2026
Uttar Pradesh,Baghpat,Baraut APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,475.00","7,675.00","7,575.00",Rs./Quintal,0.20,Metric Tonnes,12-11-2025
Uttar Pradesh,Baghpat,Baraut APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,460.00","7,660.00","7,560.00",Rs./Quintal,0.20,Metric Tonnes,11-11-2025
Uttar Pradesh,Baghpat,Baraut APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,450.00","7,650.00","7,550.00",Rs./Quintal,0.20,Metric Tonnes,10-11-2025
Uttar Pradesh,Baghpat,Baraut APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,Local,"7,550.00","7,750.00","7,630.00",Rs./Quintal,0.20,Metric Tonnes,08-11-2025
Uttar Pradesh,Baghpat,Baraut APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,Local,"7,550.00","7,750.00","7,630.00",Rs./Quintal,0.20,Metric Tonnes,07-11-2025
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,400.00","7,600.00","7,500.00",Rs./Quintal,20.00,Metric Tonnes,31-12-2025
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,400.00","7,600.00","7,500.00",Rs./Quintal,20.00,Metric Tonnes,30-12-2025
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,450.00","7,650.00","7,560.00",Rs./Quintal,21.00,Metric Tonnes,29-12-2025
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,550.00","7,750.00","7,650.00",Rs./Quintal,25.00,Metric Tonnes,26-11-2025
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,600.00","7,800.00","7,700.00",Rs./Quintal,24.00,Metric Tonnes,25-11-2025
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,600.00","7,800.00","7,700.00",Rs./Quintal,21.00,Metric Tonnes,24-11-2025
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,500.00","7,700.00","7,600.00",Rs./Quintal,30.00,Metric Tonnes,22-11-2025
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,500.00","7,700.00","7,600.00",Rs./Quintal,45.00,Metric Tonnes,21-11-2025
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,500.00","7,700.00","7,600.00",Rs./Quintal,2.20,Metric Tonnes,20-11-2025
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,550.00","7,750.00","7,650.00",Rs./Quintal,2.00,Metric Tonnes,19-11-2025
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,550.00","7,750.00","7,650.00",Rs./Quintal,2.20,Metric Tonnes,18-11-2025
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,500.00","7,700.00","7,600.00",Rs./Quintal,25.00,Metric Tonnes,17-11-2025
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,500.00","7,700.00","7,600.00",Rs./Quintal,35.00,Metric Tonnes,15-11-2025
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,500.00","7,700.00","7,600.00",Rs./Quintal,15.00,Metric Tonnes,14-11-2025
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,500.00","7,700.00","7,600.00",Rs./Quintal,12.50,Metric Tonnes,13-11-2025
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,550.00","7,750.00","7,650.00",Rs./Quintal,17.50,Metric Tonnes,13-01-2026
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,500.00","7,700.00","7,600.00",Rs./Quintal,12.00,Metric Tonnes,12-11-2025
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,550.00","7,750.00","7,650.00",Rs./Quintal,18.00,Metric Tonnes,12-01-2026
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,475.00","7,700.00","7,580.00",Rs./Quintal,1.80,Metric Tonnes,11-11-2025
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,500.00","7,700.00","7,600.00",Rs./Quintal,17.00,Metric Tonnes,10-11-2025
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,550.00","7,750.00","7,625.00",Rs./Quintal,17.50,Metric Tonnes,10-01-2026
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,500.00","7,700.00","7,600.00",Rs./Quintal,17.00,Metric Tonnes,09-01-2026
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,500.00","7,700.00","7,600.00",Rs./Quintal,17.50,Metric Tonnes,08-01-2026
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,500.00","7,700.00","7,600.00",Rs./Quintal,18.00,Metric Tonnes,07-01-2026
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,450.00","7,650.00","7,550.00",Rs./Quintal,17.50,Metric Tonnes,05-01-2026
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,450.00","7,700.00","7,580.00",Rs./Quintal,18.00,Metric Tonnes,03-01-2026
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,450.00","7,650.00","7,550.00",Rs./Quintal,17.00,Metric Tonnes,02-01-2026
Uttar Pradesh,Bahraich,Bahraich APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,400.00","7,635.00","7,520.00",Rs./Quintal,13.50,Metric Tonnes,01-01-2026
Uttar Pradesh,Ballia,Rasda APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,Grade Range-3,"7,600.00","7,700.00","7,645.00",Rs./Quintal,2.20,Metric Tonnes,13-11-2025
Uttar Pradesh,Ballia,Rasda APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,Grade Range-3,"7,600.00","7,725.00","7,650.00",Rs./Quintal,2.10,Metric Tonnes,12-11-2025
Uttar Pradesh,Ballia,Rasda APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,Grade Range-3,"7,550.00","7,665.00","7,600.00",Rs./Quintal,0.55,Metric Tonnes,11-11-2025
Uttar Pradesh,Ballia,Rasda APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,Grade Range-3,"7,550.00","7,680.00","7,620.00",Rs./Quintal,2.40,Metric Tonnes,10-11-2025
Uttar Pradesh,Ballia,Rasda APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,Grade Range-3,"7,575.00","7,690.00","7,620.00",Rs./Quintal,2.20,Metric Tonnes,07-11-2025
Uttar Pradesh,Banda,Banda APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"5,150.00","5,250.00","5,225.00",Rs./Quintal,16.00,Metric Tonnes,14-11-2025
Uttar Pradesh,Basti,Basti APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,400.00","7,600.00","7,500.00",Rs./Quintal,32.50,Metric Tonnes,28-11-2025
Uttar Pradesh,Basti,Basti APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,490.00","7,590.00","7,540.00",Rs./Quintal,30.00,Metric Tonnes,26-12-2025
Uttar Pradesh,Basti,Basti APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,480.00","7,580.00","7,530.00",Rs./Quintal,37.50,Metric Tonnes,21-11-2025
Uttar Pradesh,Basti,Basti APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,480.00","7,580.00","7,530.00",Rs./Quintal,37.00,Metric Tonnes,19-12-2025
Uttar Pradesh,Basti,Basti APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,500.00","7,600.00","7,550.00",Rs./Quintal,30.00,Metric Tonnes,12-12-2025
Uttar Pradesh,Basti,Basti APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,415.00","7,615.00","7,515.00",Rs./Quintal,27.50,Metric Tonnes,09-01-2026
Uttar Pradesh,Basti,Basti APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,490.00","7,590.00","7,540.00",Rs./Quintal,25.00,Metric Tonnes,05-12-2025
Uttar Pradesh,Basti,Basti APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,490.00","7,590.00","7,540.00",Rs./Quintal,26.50,Metric Tonnes,02-01-2026
Uttar Pradesh,Bulandshahar,Jahangirabad APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,493.00","7,733.00","7,613.00",Rs./Quintal,2.00,Metric Tonnes,31-12-2025
Uttar Pradesh,Bulandshahar,Jahangirabad APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,495.00","7,735.00","7,615.00",Rs./Quintal,1.80,Metric Tonnes,30-12-2025
Uttar Pradesh,Bulandshahar,Jahangirabad APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,470.00","7,710.00","7,590.00",Rs./Quintal,1.70,Metric Tonnes,30-11-2025
Uttar Pradesh,Bulandshahar,Jahangirabad APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,490.00","7,730.00","7,610.00",Rs./Quintal,2.00,Metric Tonnes,29-12-2025
Uttar Pradesh,Bulandshahar,Jahangirabad APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,470.00","7,710.00","7,590.00",Rs./Quintal,1.80,Metric Tonnes,29-11-2025
Uttar Pradesh,Bulandshahar,Jahangirabad APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,475.00","7,715.00","7,595.00",Rs./Quintal,1.80,Metric Tonnes,28-12-2025
Uttar Pradesh,Bulandshahar,Jahangirabad APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,470.00","7,710.00","7,590.00",Rs./Quintal,2.00,Metric Tonnes,27-12-2025
Uttar Pradesh,Bulandshahar,Jahangirabad APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,470.00","7,710.00","7,590.00",Rs./Quintal,2.00,Metric Tonnes,27-11-2025
Uttar Pradesh,Bulandshahar,Jahangirabad APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,450.00","7,690.00","7,570.00",Rs./Quintal,2.30,Metric Tonnes,26-11-2025
Uttar Pradesh,Bulandshahar,Jahangirabad APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,490.00","7,730.00","7,610.00",Rs./Quintal,1.90,Metric Tonnes,25-12-2025
Uttar Pradesh,Bulandshahar,Jahangirabad APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,445.00","7,685.00","7,565.00",Rs./Quintal,3.00,Metric Tonnes,25-11-2025
Uttar Pradesh,Bulandshahar,Jahangirabad APMC,Pulses,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,"7,485.00","7,725.00","7,605.00",Rs./Quintal,1.80,Metric Tonnes,24-12-2025
