,,,,,,,Daily Price Arrival Report-07-11-2025 to 07-02-2026 for Uttar Pradesh,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,080.00","1,160.00","1,120.00",Rs./Quintal,2.70,Metric Tonnes,30-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,080.00","1,160.00","1,120.00",Rs./Quintal,2.50,Metric Tonnes,27-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,090.00","1,170.00","1,130.00",Rs./Quintal,2.70,Metric Tonnes,26-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,490.00","1,570.00","1,530.00",Rs./Quintal,2.10,Metric Tonnes,25-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,120.00","1,180.00","1,150.00",Rs./Quintal,2.60,Metric Tonnes,25-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,120.00","1,220.00","1,170.00",Rs./Quintal,2.60,Metric Tonnes,24-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,140.00","1,220.00","1,180.00",Rs./Quintal,2.60,Metric Tonnes,22-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,460.00","1,530.00","1,495.00",Rs./Quintal,2.20,Metric Tonnes,21-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,140.00","1,330.00","1,190.00",Rs./Quintal,2.70,Metric Tonnes,21-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,450.00","1,530.00","1,490.00",Rs./Quintal,2.30,Metric Tonnes,20-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,150.00","1,230.00","1,190.00",Rs./Quintal,2.80,Metric Tonnes,20-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,160.00","1,220.00","1,190.00",Rs./Quintal,2.70,Metric Tonnes,19-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,180.00","1,260.00","1,220.00",Rs./Quintal,2.60,Metric Tonnes,18-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,160.00","1,240.00","1,200.00",Rs./Quintal,2.50,Metric Tonnes,18-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,190.00","1,270.00","1,230.00",Rs./Quintal,2.40,Metric Tonnes,15-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,160.00","1,220.00","1,190.00",Rs./Quintal,2.50,Metric Tonnes,15-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,160.00","1,240.00","1,200.00",Rs./Quintal,2.50,Metric Tonnes,14-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,140.00","1,220.00","1,180.00",Rs./Quintal,2.70,Metric Tonnes,14-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,170.00","1,250.00","1,210.00",Rs./Quintal,2.60,Metric Tonnes,13-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,070.00","1,150.00","1,110.00",Rs./Quintal,2.50,Metric Tonnes,12-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,150.00","1,250.00","1,200.00",Rs./Quintal,2.70,Metric Tonnes,12-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,050.00","1,130.00","1,090.00",Rs./Quintal,2.60,Metric Tonnes,11-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,200.00","1,300.00","1,250.00",Rs./Quintal,2.60,Metric Tonnes,11-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,990.00,"1,070.00","1,030.00",Rs./Quintal,2.70,Metric Tonnes,10-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,260.00","1,300.00","1,280.00",Rs./Quintal,2.40,Metric Tonnes,10-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,230.00","1,270.00","1,250.00",Rs./Quintal,2.60,Metric Tonnes,09-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,Grade A,"1,220.00","1,220.00","1,220.00",Rs./Quintal,1.00,Metric Tonnes,08-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,950.00,"1,050.00","1,000.00",Rs./Quintal,2.70,Metric Tonnes,04-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,550.00","1,650.00","1,600.00",Rs./Quintal,2.30,Metric Tonnes,02-01-2026
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,Red,FAQ,"1,500.00","1,580.00","1,540.00",Rs./Quintal,2.30,Metric Tonnes,01-01-2026
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,200.00","1,100.00",Rs./Quintal,130.00,Metric Tonnes,30-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,250.00","1,120.00",Rs./Quintal,128.00,Metric Tonnes,29-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,200.00","1,100.00",Rs./Quintal,155.00,Metric Tonnes,28-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,240.00","1,120.00",Rs./Quintal,150.00,Metric Tonnes,27-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Onion,FAQ,"1,000.00","1,250.00","1,140.00",Rs./Quintal,140.00,Metric Tonnes,26-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,280.00","1,150.00",Rs./Quintal,138.00,Metric Tonnes,25-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,400.00","1,800.00","1,520.00",Rs./Quintal,155.00,Metric Tonnes,24-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,300.00","1,160.00",Rs./Quintal,135.00,Metric Tonnes,24-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,350.00","1,750.00","1,540.00",Rs./Quintal,150.00,Metric Tonnes,23-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,050.00","1,300.00","1,180.00",Rs./Quintal,130.00,Metric Tonnes,23-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,280.00","1,160.00",Rs./Quintal,165.00,Metric Tonnes,22-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,050.00","1,300.00","1,180.00",Rs./Quintal,160.00,Metric Tonnes,21-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,080.00","1,300.00","1,190.00",Rs./Quintal,140.00,Metric Tonnes,20-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,300.00","1,600.00","1,400.00",Rs./Quintal,145.00,Metric Tonnes,19-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,050.00","1,300.00","1,180.00",Rs./Quintal,155.00,Metric Tonnes,19-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Onion,FAQ,"1,000.00","1,500.00","1,230.00",Rs./Quintal,180.00,Metric Tonnes,18-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,100.00","1,350.00","1,200.00",Rs./Quintal,148.00,Metric Tonnes,18-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,400.00","1,245.00",Rs./Quintal,140.00,Metric Tonnes,17-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,100.00","1,360.00","1,210.00",Rs./Quintal,145.00,Metric Tonnes,17-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,100.00","1,400.00","1,230.00",Rs./Quintal,150.00,Metric Tonnes,16-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,100.00","1,350.00","1,200.00",Rs./Quintal,150.00,Metric Tonnes,16-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,050.00","1,300.00","1,180.00",Rs./Quintal,155.00,Metric Tonnes,15-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Onion,FAQ,"1,000.00","1,300.00","1,150.00",Rs./Quintal,170.00,Metric Tonnes,14-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,100.00","1,360.00","1,210.00",Rs./Quintal,160.00,Metric Tonnes,13-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,100.00","1,350.00","1,200.00",Rs./Quintal,180.00,Metric Tonnes,12-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Onion,FAQ,"1,150.00","1,380.00","1,250.00",Rs./Quintal,150.00,Metric Tonnes,11-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Onion,FAQ,"1,200.00","1,400.00","1,280.00",Rs./Quintal,140.00,Metric Tonnes,10-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,900.00,"1,150.00","1,020.00",Rs./Quintal,120.00,Metric Tonnes,09-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,100.00","1,400.00","1,250.00",Rs./Quintal,145.00,Metric Tonnes,09-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,900.00,"1,100.00","1,000.00",Rs./Quintal,130.00,Metric Tonnes,08-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,150.00","1,400.00","1,260.00",Rs./Quintal,140.00,Metric Tonnes,08-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,920.00,"1,150.00","1,010.00",Rs./Quintal,128.00,Metric Tonnes,07-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,100.00","1,400.00","1,250.00",Rs./Quintal,150.00,Metric Tonnes,07-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Onion,FAQ,900.00,"1,150.00","1,000.00",Rs./Quintal,135.00,Metric Tonnes,06-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,920.00,"1,150.00","1,020.00",Rs./Quintal,130.00,Metric Tonnes,05-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,900.00,"1,150.00","1,000.00",Rs./Quintal,160.00,Metric Tonnes,04-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,900.00,"1,200.00","1,050.00",Rs./Quintal,155.00,Metric Tonnes,03-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,260.00","1,110.00",Rs./Quintal,140.00,Metric Tonnes,02-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,250.00","1,120.00",Rs./Quintal,125.00,Metric Tonnes,01-12-2025
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Onion,Red,Medium,"1,000.00","1,400.00","1,200.00",Rs./Quintal,2.60,Metric Tonnes,30-12-2025
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Onion,Red,Medium,"1,000.00","1,500.00","1,200.00",Rs./Quintal,2.10,Metric Tonnes,29-12-2025
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Onion,Red,Medium,"1,200.00","1,600.00","1,400.00",Rs./Quintal,2.20,Metric Tonnes,27-01-2026
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Onion,Other,Medium,800.00,"1,000.00","1,000.00",Rs./Quintal,2.10,Metric Tonnes,26-12-2025
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Onion,Red,Medium,"1,000.00","1,500.00","1,200.00",Rs./Quintal,2.90,Metric Tonnes,24-01-2026
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Onion,Red,Medium,"1,200.00","1,600.00","1,400.00",Rs./Quintal,2.60,Metric Tonnes,23-01-2026
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Onion,Red,Medium,900.00,"1,200.00","1,200.00",Rs./Quintal,2.30,Metric Tonnes,22-12-2025
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Onion,Red,Medium,"1,200.00","1,600.00","1,400.00",Rs./Quintal,2.60,Metric Tonnes,20-01-2026
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Onion,Red,Medium,"1,000.00","1,400.00","1,200.00",Rs./Quintal,2.30,Metric Tonnes,16-01-2026
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Onion,Red,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,2.10,Metric Tonnes,15-12-2025
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Onion,Red,Medium,"1,000.00","1,400.00","1,200.00",Rs./Quintal,2.60,Metric Tonnes,12-01-2026
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Onion,Red,Medium,800.00,"1,200.00","1,000.00",Rs./Quintal,2.10,Metric Tonnes,10-01-2026
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Onion,Red,Medium,"1,200.00","1,600.00","1,600.00",Rs./Quintal,2.30,Metric Tonnes,05-01-2026
Uttar Pradesh,Agra,Fatehabad APMC,Vegetables,Onion,Red,Medium,"1,200.00","1,600.00","1,400.00",Rs./Quintal,2.10,Metric Tonnes,01-01-2026
Uttar Pradesh,Agra,Jagnair APMC,Vegetables,Onion,Other,FAQ,"1,600.00","1,800.00","1,700.00",Rs./Quintal,0.40,Metric Tonnes,23-12-2025
Uttar Pradesh,Agra,Jagnair APMC,Vegetables,Onion,Other,FAQ,"1,200.00","1,400.00","1,300.00",Rs./Quintal,0.40,Metric Tonnes,19-12-2025
Uttar Pradesh,Agra,Jagnair APMC,Vegetables,Onion,Other,FAQ,"1,500.00","1,600.00","1,550.00",Rs./Quintal,1.50,Metric Tonnes,17-01-2026
Uttar Pradesh,Agra,Jagnair APMC,Vegetables,Onion,Other,FAQ,"1,700.00","1,800.00","1,750.00",Rs./Quintal,0.80,Metric Tonnes,06-01-2026
Uttar Pradesh,Agra,Jagnair APMC,Vegetables,Onion,Other,FAQ,"1,700.00","1,900.00","1,800.00",Rs./Quintal,0.50,Metric Tonnes,02-01-2026
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,0.60,Metric Tonnes,30-01-2026
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,0.40,Metric Tonnes,28-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,900.00,"1,000.00",950.00,Rs./Quintal,1.00,Metric Tonnes,26-01-2026
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,0.30,Metric Tonnes,25-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,1.50,Metric Tonnes,25-01-2026
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,0.30,Metric Tonnes,24-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,0.50,Metric Tonnes,23-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,0.40,Metric Tonnes,22-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,0.40,Metric Tonnes,19-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,1.00,Metric Tonnes,17-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,0.60,Metric Tonnes,16-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,0.50,Metric Tonnes,15-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,1.20,Metric Tonnes,14-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,0.60,Metric Tonnes,12-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,0.60,Metric Tonnes,11-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,1.00,Metric Tonnes,09-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,1.00,Metric Tonnes,09-01-2026
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,2.00,Metric Tonnes,08-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,1.00,Metric Tonnes,07-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,2.50,Metric Tonnes,06-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,900.00,"1,000.00",950.00,Rs./Quintal,0.40,Metric Tonnes,05-01-2026
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Other,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,1.00,Metric Tonnes,04-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,500.00","1,600.00","1,550.00",Rs./Quintal,0.60,Metric Tonnes,04-02-2026
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,000.00","1,000.00",Rs./Quintal,1.00,Metric Tonnes,03-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,800.00,900.00,850.00,Rs./Quintal,0.60,Metric Tonnes,03-01-2026
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Onion,Red,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,0.60,Metric Tonnes,02-01-2026
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,Local,"1,100.00","1,300.00","1,200.00",Rs./Quintal,1.00,Metric Tonnes,31-01-2026
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,FAQ,800.00,"1,000.00",900.00,Rs./Quintal,2.00,Metric Tonnes,30-12-2025
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,Medium,"1,200.00","1,400.00","1,300.00",Rs./Quintal,1.00,Metric Tonnes,30-01-2026
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,FAQ,900.00,"1,100.00","1,000.00",Rs./Quintal,3.00,Metric Tonnes,29-12-2025
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,Medium,"1,000.00","1,200.00","1,100.00",Rs./Quintal,1.00,Metric Tonnes,29-01-2026
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,Local,800.00,"1,000.00",900.00,Rs./Quintal,2.00,Metric Tonnes,28-12-2025
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,FAQ,800.00,"1,000.00",900.00,Rs./Quintal,2.00,Metric Tonnes,27-12-2025
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,Local,"1,000.00","1,200.00","1,100.00",Rs./Quintal,0.20,Metric Tonnes,25-01-2026
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,FAQ,800.00,"1,000.00",900.00,Rs./Quintal,2.50,Metric Tonnes,24-12-2025
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,Local,"1,000.00","1,200.00","1,100.00",Rs./Quintal,2.00,Metric Tonnes,24-01-2026
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,FAQ,800.00,"1,000.00",900.00,Rs./Quintal,1.50,Metric Tonnes,23-12-2025
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,FAQ,800.00,"1,000.00",900.00,Rs./Quintal,3.00,Metric Tonnes,22-12-2025
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,Local,"1,000.00","1,200.00","1,100.00",Rs./Quintal,0.50,Metric Tonnes,22-01-2026
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,FAQ,700.00,900.00,800.00,Rs./Quintal,2.00,Metric Tonnes,20-12-2025
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,Local,"1,000.00","1,200.00","1,100.00",Rs./Quintal,0.40,Metric Tonnes,20-01-2026
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,Local,"1,000.00","1,200.00","1,100.00",Rs./Quintal,1.00,Metric Tonnes,19-01-2026
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,FAQ,800.00,"1,000.00",900.00,Rs./Quintal,1.50,Metric Tonnes,18-12-2025
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,Local,"1,000.00","1,200.00","1,100.00",Rs./Quintal,0.50,Metric Tonnes,18-01-2026
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,FAQ,800.00,"1,000.00",900.00,Rs./Quintal,2.00,Metric Tonnes,17-12-2025
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,FAQ,700.00,900.00,800.00,Rs./Quintal,3.00,Metric Tonnes,16-12-2025
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,Local,"1,100.00","1,300.00","1,200.00",Rs./Quintal,1.00,Metric Tonnes,16-01-2026
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,FAQ,700.00,900.00,800.00,Rs./Quintal,2.00,Metric Tonnes,15-12-2025
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,FAQ,"1,100.00","1,300.00","1,200.00",Rs./Quintal,0.50,Metric Tonnes,15-01-2026
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,FAQ,700.00,800.00,750.00,Rs./Quintal,1.00,Metric Tonnes,14-12-2025
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,FAQ,700.00,800.00,750.00,Rs./Quintal,3.00,Metric Tonnes,13-12-2025
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,FAQ,"1,100.00","1,300.00","1,200.00",Rs./Quintal,0.40,Metric Tonnes,13-01-2026
Uttar Pradesh,Agra,Samsabad APMC,Vegetables,Onion,Other,FAQ,750.00,850.00,800.00,Rs./Quintal,2.00,Metric Tonnes,12-12-2025
