,,,,,,,Daily Price Arrival Report-07-11-2025 to 07-02-2026 for Uttar Pradesh,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,600.00,800.00,700.00,Rs./Quintal,60.00,Metric Tonnes,31-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,610.00,810.00,710.00,Rs./Quintal,50.00,Metric Tonnes,30-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,950.00,"1,150.00","1,050.00",Rs./Quintal,50.00,Metric Tonnes,30-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,600.00,800.00,700.00,Rs./Quintal,60.00,Metric Tonnes,29-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,960.00,"1,160.00","1,060.00",Rs./Quintal,50.00,Metric Tonnes,29-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,605.00,805.00,705.00,Rs./Quintal,60.00,Metric Tonnes,28-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,960.00,"1,160.00","1,060.00",Rs./Quintal,60.00,Metric Tonnes,28-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,990.00,"1,190.00","1,090.00",Rs./Quintal,50.00,Metric Tonnes,27-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,620.00,820.00,720.00,Rs./Quintal,70.00,Metric Tonnes,26-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,"1,010.00","1,210.00","1,110.00",Rs./Quintal,50.00,Metric Tonnes,26-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,630.00,830.00,730.00,Rs./Quintal,60.00,Metric Tonnes,25-12-2025
