,,,,,,,Daily Price Arrival Report-07-11-2025 to 07-02-2026 for Uttar Pradesh,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"3,300.00","3,400.00","3,350.00",Rs./Quintal,1.00,Metric Tonnes,30-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"2,400.00","2,500.00","2,450.00",Rs./Quintal,1.00,Metric Tonnes,29-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"2,440.00","2,520.00","2,480.00",Rs./Quintal,1.00,Metric Tonnes,28-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"3,620.00","3,720.00","3,660.00",Rs./Quintal,0.90,Metric Tonnes,27-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"3,800.00","3,900.00","3,850.00",Rs./Quintal,0.90,Metric Tonnes,26-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"2,550.00","2,650.00","2,600.00",Rs./Quintal,1.00,Metric Tonnes,25-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"3,850.00","3,950.00","3,900.00",Rs./Quintal,0.80,Metric Tonnes,25-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"3,860.00","3,940.00","3,900.00",Rs./Quintal,0.90,Metric Tonnes,24-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"3,950.00","4,050.00","4,000.00",Rs./Quintal,0.90,Metric Tonnes,23-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"3,700.00","3,760.00","3,730.00",Rs./Quintal,1.10,Metric Tonnes,22-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"2,650.00","2,750.00","2,700.00",Rs./Quintal,1.00,Metric Tonnes,21-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"3,650.00","3,750.00","3,700.00",Rs./Quintal,1.10,Metric Tonnes,21-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"3,250.00","3,350.00","3,300.00",Rs./Quintal,1.10,Metric Tonnes,20-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"3,180.00","3,260.00","3,220.00",Rs./Quintal,1.10,Metric Tonnes,19-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"2,700.00","2,800.00","2,750.00",Rs./Quintal,1.00,Metric Tonnes,18-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"3,250.00","3,350.00","3,300.00",Rs./Quintal,1.10,Metric Tonnes,18-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"2,650.00","2,750.00","2,700.00",Rs./Quintal,1.20,Metric Tonnes,15-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"2,700.00","2,800.00","2,750.00",Rs./Quintal,0.90,Metric Tonnes,14-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"2,350.00","2,450.00","2,400.00",Rs./Quintal,1.20,Metric Tonnes,14-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"2,090.00","2,170.00","2,130.00",Rs./Quintal,1.30,Metric Tonnes,13-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"2,550.00","2,650.00","2,600.00",Rs./Quintal,1.00,Metric Tonnes,12-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"2,050.00","2,150.00","2,100.00",Rs./Quintal,1.40,Metric Tonnes,12-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"2,460.00","2,540.00","2,500.00",Rs./Quintal,1.10,Metric Tonnes,11-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"1,900.00","2,000.00","1,950.00",Rs./Quintal,1.30,Metric Tonnes,11-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"2,930.00","3,010.00","2,970.00",Rs./Quintal,0.30,Metric Tonnes,11-01-2026
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"2,380.00","2,460.00","2,420.00",Rs./Quintal,1.10,Metric Tonnes,10-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"1,880.00","1,920.00","1,900.00",Rs./Quintal,1.30,Metric Tonnes,10-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"2,350.00","2,450.00","2,400.00",Rs./Quintal,1.10,Metric Tonnes,09-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"1,920.00","1,960.00","1,940.00",Rs./Quintal,1.30,Metric Tonnes,09-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,Grade A,"1,900.00","1,900.00","1,900.00",Rs./Quintal,0.33,Metric Tonnes,08-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"2,670.00","2,750.00","2,710.00",Rs./Quintal,1.00,Metric Tonnes,05-01-2026
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"2,860.00","2,940.00","2,900.00",Rs./Quintal,1.10,Metric Tonnes,04-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"3,200.00","3,300.00","3,250.00",Rs./Quintal,1.00,Metric Tonnes,02-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,Deshi,FAQ,"2,640.00","2,720.00","2,680.00",Rs./Quintal,1.00,Metric Tonnes,02-01-2026
Uttar Pradesh,Agra,Agra APMC,Vegetables,Tomato,Deshi,FAQ,"2,400.00","2,800.00","2,500.00",Rs./Quintal,85.00,Metric Tonnes,31-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Tomato,Deshi,FAQ,"2,300.00","2,700.00","2,460.00",Rs./Quintal,100.00,Metric Tonnes,30-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Tomato,Deshi,FAQ,"3,000.00","3,500.00","3,200.00",Rs./Quintal,110.00,Metric Tonnes,30-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Tomato,Deshi,FAQ,"2,300.00","2,600.00","2,450.00",Rs./Quintal,110.00,Metric Tonnes,29-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Tomato,Deshi,FAQ,"3,050.00","3,600.00","3,250.00",Rs./Quintal,100.00,Metric Tonnes,29-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Tomato,Deshi,FAQ,"3,000.00","3,600.00","3,200.00",Rs./Quintal,110.00,Metric Tonnes,28-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Tomato,Deshi,FAQ,"2,200.00","2,650.00","2,400.00",Rs./Quintal,125.00,Metric Tonnes,27-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Tomato,Deshi,FAQ,"3,200.00","3,800.00","3,500.00",Rs./Quintal,110.00,Metric Tonnes,27-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Tomato,Deshi,FAQ,"2,200.00","2,600.00","2,400.00",Rs./Quintal,145.00,Metric Tonnes,26-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Tomato,Deshi,FAQ,"3,500.00","4,000.00","3,700.00",Rs./Quintal,90.00,Metric Tonnes,26-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Tomato,Deshi,FAQ,"2,300.00","2,700.00","2,450.00",Rs./Quintal,138.00,Metric Tonnes,25-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Tomato,Deshi,FAQ,"2,350.00","2,800.00","2,500.00",Rs./Quintal,130.00,Metric Tonnes,24-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Tomato,Deshi,FAQ,"3,600.00","4,000.00","3,850.00",Rs./Quintal,80.00,Metric Tonnes,24-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Tomato,Deshi,FAQ,"2,450.00","2,950.00","2,600.00",Rs./Quintal,120.00,Metric Tonnes,23-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Tomato,Deshi,FAQ,"3,700.00","4,200.00","3,900.00",Rs./Quintal,58.00,Metric Tonnes,23-11-2025
