,,,,,,,Daily Price Arrival Report-07-11-2025 to 07-02-2026 for Uttar Pradesh,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,500.00","2,640.00","2,570.00",Rs./Quintal,20.00,Metric Tonnes,31-12-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,500.00","2,620.00","2,560.00",Rs./Quintal,20.00,Metric Tonnes,30-12-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,520.00","2,680.00","2,600.00",Rs./Quintal,55.00,Metric Tonnes,29-12-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,500.00","2,660.00","2,580.00",Rs./Quintal,20.00,Metric Tonnes,29-11-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,550.00","2,670.00","2,610.00",Rs./Quintal,20.00,Metric Tonnes,28-12-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,500.00","2,660.00","2,580.00",Rs./Quintal,20.00,Metric Tonnes,28-11-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,560.00","2,670.00","2,610.00",Rs./Quintal,10.00,Metric Tonnes,26-12-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,510.00","2,630.00","2,570.00",Rs./Quintal,20.00,Metric Tonnes,24-11-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,520.00","2,640.00","2,580.00",Rs./Quintal,20.00,Metric Tonnes,23-11-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,520.00","2,640.00","2,580.00",Rs./Quintal,20.00,Metric Tonnes,22-11-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,500.00","2,640.00","2,570.00",Rs./Quintal,10.00,Metric Tonnes,21-11-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,530.00","2,650.00","2,590.00",Rs./Quintal,15.00,Metric Tonnes,19-11-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,520.00","2,640.00","2,580.00",Rs./Quintal,20.00,Metric Tonnes,18-11-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,500.00","2,600.00","2,550.00",Rs./Quintal,20.00,Metric Tonnes,17-12-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,500.00","2,620.00","2,560.00",Rs./Quintal,20.00,Metric Tonnes,16-12-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,520.00","2,640.00","2,580.00",Rs./Quintal,20.00,Metric Tonnes,15-12-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,500.00","2,660.00","2,580.00",Rs./Quintal,20.00,Metric Tonnes,15-11-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,520.00","2,640.00","2,580.00",Rs./Quintal,10.00,Metric Tonnes,14-11-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,520.00","2,640.00","2,580.00",Rs./Quintal,10.00,Metric Tonnes,12-11-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,520.00","2,610.00","2,570.00",Rs./Quintal,20.00,Metric Tonnes,11-11-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,530.00","2,600.00","2,565.00",Rs./Quintal,10.00,Metric Tonnes,10-11-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,500.00","2,620.00","2,560.00",Rs./Quintal,20.00,Metric Tonnes,09-12-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,530.00","2,590.00","2,560.00",Rs./Quintal,10.00,Metric Tonnes,09-11-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,600.00","2,700.00","2,650.00",Rs./Quintal,10.00,Metric Tonnes,09-01-2026
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,Grade Range-1,"2,560.00","2,560.00","2,560.00",Rs./Quintal,5.00,Metric Tonnes,08-11-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,500.00","2,620.00","2,560.00",Rs./Quintal,10.00,Metric Tonnes,07-12-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,560.00","2,660.00","2,610.00",Rs./Quintal,20.00,Metric Tonnes,07-01-2026
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,550.00","2,670.00","2,610.00",Rs./Quintal,20.00,Metric Tonnes,06-01-2026
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,500.00","2,650.00","2,580.00",Rs./Quintal,15.00,Metric Tonnes,05-12-2025
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,570.00","2,670.00","2,620.00",Rs./Quintal,20.00,Metric Tonnes,05-01-2026
Uttar Pradesh,Agra,Achnera APMC,Cereals,Wheat,Dara,FAQ,"2,560.00","2,700.00","2,620.00",Rs./Quintal,20.00,Metric Tonnes,04-01-2026
